                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3649,                 2.3243,                 1.4412,                0.70936,                0.41352,                0.44808,                0.28784,                 1.3729,                 2.0653,                 1.5106,             0.00047116,             0.00047116,             0.00047116
                      2,                 1.4167,                 1.8144,                 1.4842,                0.52175,                0.34321,                0.36404,                0.19422,                 1.6239,                 2.4576,                 1.7984,             0.00093811,             0.00093811,             0.00093811
                      3,                 1.4567,                 1.7737,                 1.5058,                0.70016,                0.34656,                0.36096,                0.21237,                 1.5661,                 2.2205,                  1.714,              0.0013956,              0.0013956,              0.0013956
                      4,                 1.4327,                 1.7293,                 1.5024,                0.78073,                0.36159,                0.41731,                0.24749,                 1.6103,                 2.3435,                 1.7287,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.4227,                 1.6795,                 1.4751,                0.34788,                0.37154,                0.33395,                 0.1877,                 1.6673,                 2.4002,                 1.8237,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.3872,                 1.5882,                 1.4659,                0.51871,                0.37276,                0.31112,                0.16872,                 1.6766,                  2.482,                 1.7635,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.3569,                 1.4988,                 1.4384,                0.51821,                0.41982,                0.44608,                0.26741,                 1.5459,                  1.837,                 1.6792,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.3397,                 1.4881,                 1.4326,                0.78875,                0.40458,                0.46501,                0.28718,                 1.4497,                  1.898,                 1.5746,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.3121,                 1.4284,                 1.4136,                0.65138,                 0.4792,                0.55666,                0.34864,                 1.4153,                 1.5645,                 1.5406,                0.00133,                0.00133,                0.00133
                     10,                 1.3261,                  1.424,                 1.4232,                0.63205,                0.42969,                0.51327,                0.32139,                 1.4679,                 1.6726,                 1.5762,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.2845,                 1.3875,                 1.3913,                0.81315,                0.47477,                0.53942,                0.33696,                 1.4147,                 1.6913,                 1.5472,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.2962,                 1.3297,                 1.3996,                0.52246,                0.50363,                0.49613,                0.31543,                 1.4257,                 1.5761,                 1.5444,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.2665,                 1.3154,                 1.3797,                 0.7081,                 0.4686,                0.53581,                0.33924,                 1.4978,                 1.5828,                 1.5954,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.2429,                 1.2845,                 1.3652,                0.75797,                0.44352,                0.52785,                0.34642,                 1.4401,                 1.5211,                 1.5462,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.2344,                 1.2887,                 1.3611,                0.83534,                0.43875,                0.52154,                0.34223,                 1.3765,                 1.6887,                 1.5132,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.2178,                 1.2086,                 1.3463,                0.51696,                0.45849,                0.53339,                0.35152,                 1.3938,                 1.6013,                 1.5036,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.2235,                 1.2069,                 1.3521,                0.63425,                0.52533,                0.56305,                0.36544,                 1.3968,                 1.4853,                 1.4984,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.1955,                 1.1761,                 1.3235,                0.85753,                0.46891,                0.58026,                0.38979,                 1.3365,                 1.4288,                  1.464,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.1965,                  1.164,                  1.326,                0.59998,                0.53203,                 0.5628,                0.36939,                 1.3518,                  1.462,                 1.5065,              0.0011885,              0.0011885,              0.0011885
                     20,                  1.184,                  1.132,                 1.3175,                0.72268,                0.49941,                0.54738,                0.35684,                 1.3752,                 1.6025,                 1.4933,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.1716,                 1.1383,                 1.3167,                0.63488,                0.48323,                0.56271,                  0.367,                 1.3944,                 1.4698,                 1.5293,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.1781,                 1.1434,                 1.3233,                0.75169,                0.52254,                0.59882,                0.39304,                 1.3566,                 1.3668,                 1.4831,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.1754,                 1.1092,                 1.3106,                0.60007,                0.52506,                 0.5449,                0.37278,                 1.3165,                 1.4484,                 1.4441,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.1493,                 1.0883,                 1.2949,                0.86918,                0.48358,                0.58886,                0.39334,                 1.3614,                 1.4036,                 1.4847,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.1435,                 1.0917,                 1.3049,                0.66918,                0.51804,                0.57101,                0.37805,                 1.3464,                 1.3888,                 1.5044,              0.0011036,              0.0011036,              0.0011036
                     26,                  1.137,                 1.0486,                 1.2931,                0.78098,                 0.4957,                0.57046,                0.38997,                 1.2966,                 1.4242,                 1.4401,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.1297,                 1.0675,                 1.2901,                0.70302,                0.49546,                0.57885,                 0.3925,                 1.3377,                 1.4118,                 1.4688,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.1201,                 1.0298,                 1.2907,                 0.7849,                0.47369,                0.57378,                0.37822,                 1.3506,                 1.4427,                 1.4787,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.1013,                 1.0086,                 1.2683,                 0.5962,                0.58827,                0.59377,                0.39363,                 1.3369,                 1.3251,                 1.4731,               0.001047,               0.001047,               0.001047
                     30,                 1.1159,                 1.0341,                  1.288,                0.63477,                0.50614,                0.53799,                0.36452,                 1.3407,                 1.4963,                 1.4826,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.0892,                 1.0018,                 1.2738,                0.70802,                0.51985,                0.60149,                0.40219,                 1.3157,                 1.3962,                 1.4309,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.1003,                  1.009,                 1.2725,                0.63923,                0.54711,                0.57965,                 0.3931,                 1.3166,                 1.3438,                 1.4491,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.0932,                0.97202,                 1.2628,                0.77895,                0.49447,                0.58045,                0.39432,                 1.3208,                  1.406,                 1.4654,             0.00099044,             0.00099044,             0.00099044
                     34,                  1.088,                0.96508,                 1.2625,                0.72763,                0.54436,                0.59884,                0.41123,                 1.2985,                 1.3275,                 1.4342,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.0821,                0.97484,                 1.2594,                0.73393,                0.55866,                0.62488,                0.41955,                 1.3162,                 1.2693,                 1.4495,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.0644,                0.96372,                 1.2348,                0.68659,                0.56081,                0.60868,                  0.412,                 1.2971,                 1.2804,                 1.4321,               0.000948,               0.000948,               0.000948
                     37,                 1.0673,                0.92289,                  1.238,                0.67847,                0.57682,                0.61112,                0.41952,                  1.284,                 1.3052,                 1.4111,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.0497,                0.92266,                 1.2399,                0.61693,                0.57593,                0.59173,                0.40033,                  1.314,                 1.3847,                 1.4611,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.0454,                0.91073,                 1.2371,                0.66428,                0.55081,                0.60058,                0.39531,                 1.3525,                 1.2804,                 1.4843,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.0488,                0.90808,                 1.2262,                0.69198,                0.48958,                0.55865,                0.38165,                 1.3083,                 1.4403,                 1.4412,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.0365,                0.88736,                 1.2222,                0.76409,                0.56628,                0.62036,                0.42173,                 1.2637,                  1.292,                 1.4078,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.0344,                0.89782,                 1.2291,                0.72521,                0.56539,                0.62085,                0.41526,                 1.3154,                 1.2778,                 1.4465,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.0343,                0.89665,                 1.2224,                0.86183,                0.48261,                0.57647,                0.38674,                 1.3171,                 1.4087,                 1.4747,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.0376,                0.87986,                 1.2267,                0.85578,                0.51292,                0.62197,                0.43283,                 1.2706,                 1.2957,                 1.4302,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.0027,                0.86677,                 1.2097,                0.80419,                0.52269,                0.60602,                0.41385,                 1.2651,                 1.2847,                 1.4176,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.0252,                 0.8749,                 1.2206,                0.71346,                 0.5229,                0.57585,                0.40082,                 1.2873,                 1.4399,                 1.4332,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.0264,                0.88398,                 1.2192,                 0.7448,                0.54978,                0.62287,                0.41366,                 1.3119,                 1.2715,                 1.4531,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.0153,                0.84114,                 1.1997,                0.69013,                0.58027,                0.61318,                 0.4188,                 1.3102,                 1.2772,                 1.4344,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.0116,                0.85683,                 1.2116,                0.63986,                0.55812,                 0.5836,                0.40013,                 1.3145,                  1.432,                 1.4439,             0.00076409,             0.00076409,             0.00076409
                     50,                0.99642,                0.82827,                 1.1968,                0.69541,                 0.5677,                0.61523,                0.41893,                  1.297,                 1.2711,                 1.4349,             0.00074994,             0.00074994,             0.00074994
                     51,                0.98613,                0.80912,                 1.1967,                0.77209,                0.52838,                0.60367,                0.41524,                 1.3137,                 1.3946,                 1.4644,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.0209,                0.85172,                 1.2128,                 0.6737,                0.58374,                0.62613,                0.42159,                 1.3009,                  1.241,                 1.4242,             0.00072164,             0.00072164,             0.00072164
                     53,                0.99223,                0.82767,                 1.1985,                0.72467,                0.58403,                0.63679,                0.44014,                 1.2789,                 1.2267,                  1.432,              0.0007075,              0.0007075,              0.0007075
                     54,                0.97126,                 0.8019,                 1.1821,                0.72405,                0.57856,                0.62163,                0.42081,                 1.2973,                 1.2595,                 1.4432,             0.00069335,             0.00069335,             0.00069335
                     55,                0.95752,                0.80067,                 1.1786,                0.70471,                 0.5699,                0.61722,                 0.4137,                 1.3007,                 1.2771,                  1.443,              0.0006792,              0.0006792,              0.0006792
                     56,                0.97262,                0.79121,                 1.1774,                 0.6933,                0.57508,                 0.6162,                 0.4222,                 1.2963,                 1.2578,                 1.4282,             0.00066506,             0.00066506,             0.00066506
                     57,                0.96768,                0.78886,                 1.1781,                0.75409,                0.59134,                0.64391,                0.43573,                 1.2864,                 1.2038,                 1.4416,             0.00065091,             0.00065091,             0.00065091
                     58,                0.95537,                0.78786,                 1.1807,                0.73938,                0.56183,                0.62668,                0.43428,                 1.2644,                 1.3292,                 1.4158,             0.00063676,             0.00063676,             0.00063676
                     59,                0.96381,                 0.7831,                 1.1762,                0.72136,                0.57191,                0.63158,                0.42989,                 1.2909,                 1.2595,                 1.4391,             0.00062262,             0.00062262,             0.00062262
                     60,                0.94825,                0.77253,                 1.1642,                0.76872,                0.54892,                 0.6322,                0.42833,                 1.3018,                 1.2829,                 1.4424,             0.00060847,             0.00060847,             0.00060847
                     61,                0.94431,                0.76953,                 1.1649,                0.75225,                0.59269,                0.63402,                0.43691,                 1.2753,                 1.2846,                 1.4234,             0.00059432,             0.00059432,             0.00059432
                     62,                0.94216,                0.76124,                 1.1674,                0.73659,                 0.5868,                0.62983,                0.43283,                  1.296,                 1.2732,                  1.448,             0.00058017,             0.00058017,             0.00058017
