                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0837,                  1.241,                 1.2948,                0.71991,                0.68107,                0.72554,                0.45998,                 1.1001,                 1.0145,                 1.3049,             0.00055513,             0.00055513,             0.00055513
                      2,                 1.1219,                0.99807,                 1.3181,                0.74715,                0.67922,                0.74052,                0.49451,                 1.0649,                0.87204,                 1.2913,              0.0010558,              0.0010558,              0.0010558
                      3,                 1.0936,                0.93581,                  1.298,                0.69938,                0.70432,                0.72803,                0.48273,                 1.0612,                0.89457,                 1.2792,              0.0015015,              0.0015015,              0.0015015
                      4,                 1.0533,                 0.8729,                 1.2718,                0.80756,                0.75372,                 0.8158,                0.56448,                0.94127,                0.75195,                 1.1877,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.0339,                0.84737,                 1.2627,                0.81086,                0.74083,                0.80977,                0.55332,                0.94482,                0.74399,                 1.1846,              0.0014195,              0.0014195,              0.0014195
                      6,                 0.9944,                0.78326,                 1.2398,                 0.8573,                0.80216,                0.86678,                0.60969,                0.90279,                0.65801,                 1.1504,              0.0013369,              0.0013369,              0.0013369
                      7,                0.96234,                0.74814,                 1.2185,                0.84079,                0.80998,                0.86823,                0.60677,                0.89705,                0.60559,                 1.1538,              0.0012544,              0.0012544,              0.0012544
                      8,                0.94523,                0.71795,                 1.2067,                0.83729,                0.81263,                0.86208,                0.61898,                0.85439,                0.59551,                 1.1188,              0.0011719,              0.0011719,              0.0011719
                      9,                0.92272,                0.69762,                 1.1925,                0.84782,                0.80755,                0.87913,                0.63762,                0.82894,                0.56735,                 1.1041,              0.0010894,              0.0010894,              0.0010894
                     10,                0.90645,                0.67788,                 1.1838,                0.85083,                0.82466,                0.87596,                0.63612,                0.83587,                0.56967,                 1.1113,              0.0010069,              0.0010069,              0.0010069
                     11,                0.76027,                0.51884,                 1.0961,                0.86571,                0.81083,                0.88069,                 0.6509,                0.81191,                0.57609,                 1.0986,             0.00092435,             0.00092435,             0.00092435
                     12,                0.73948,                0.48658,                 1.0781,                0.86308,                 0.8467,                0.89559,                0.66045,                0.80773,                0.50727,                 1.0861,             0.00084184,             0.00084184,             0.00084184
                     13,                0.71587,                0.45597,                 1.0591,                0.89282,                0.83813,                0.91138,                0.67782,                0.78295,                0.48699,                  1.076,             0.00075932,             0.00075932,             0.00075932
                     14,                0.70147,                0.43553,                 1.0536,                0.88235,                0.85849,                0.91806,                0.68738,                0.76982,                0.46468,                  1.071,              0.0006768,              0.0006768,              0.0006768
                     15,                 0.6827,                0.41878,                   1.04,                0.88408,                0.84693,                0.90426,                0.68706,                  0.757,                0.46502,                 1.0581,             0.00059429,             0.00059429,             0.00059429
                     16,                0.66627,                0.40178,                 1.0293,                 0.8826,                0.85545,                0.90794,                0.68052,                0.76037,                0.45745,                 1.0625,             0.00051177,             0.00051177,             0.00051177
                     17,                0.64974,                0.38221,                 1.0177,                 0.9047,                0.83433,                0.91036,                0.69356,                0.74427,                0.44805,                 1.0526,             0.00042925,             0.00042925,             0.00042925
                     18,                0.63239,                0.36543,                  1.008,                0.92117,                0.87073,                 0.9289,                 0.7126,                0.73259,                0.40967,                 1.0441,             0.00034674,             0.00034674,             0.00034674
                     19,                0.61849,                 0.3505,                 0.9989,                0.91763,                0.86751,                0.92862,                0.71148,                0.72582,                0.40966,                 1.0405,             0.00026422,             0.00026422,             0.00026422
                     20,                0.60468,                0.33669,                  0.993,                 0.9304,                0.86722,                0.92983,                0.71712,                0.71705,                0.40115,                 1.0351,              0.0001817,              0.0001817,              0.0001817
