                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0098,                 1.0921,                  1.369,                0.77225,                0.70734,                0.78888,                0.52129,                 1.0323,                0.90479,                 1.4351,              0.0033301,              0.0033301,              0.0033301
                      2,                 0.9724,                0.76847,                 1.3122,                0.72854,                0.65124,                0.73153,                 0.4757,                 1.0725,                0.88472,                 1.5055,              0.0065315,              0.0065315,              0.0065315
                      3,                 1.0523,                0.87547,                 1.3616,                0.70882,                0.58988,                0.66239,                0.41415,                 1.1772,                 1.2374,                  1.613,              0.0096009,              0.0096009,              0.0096009
                      4,                  1.097,                0.93397,                  1.393,                0.72622,                0.68967,                0.72234,                0.49352,                  1.025,                 1.0033,                 1.4463,               0.009406,               0.009406,               0.009406
                      5,                 1.0561,                0.87091,                 1.3655,                0.78717,                0.75752,                0.81186,                0.56308,                0.94152,                0.72135,                 1.3482,               0.009406,               0.009406,               0.009406
                      6,                 1.0144,                0.80517,                 1.3283,                0.80436,                0.75573,                0.83664,                0.57455,                0.96702,                0.81076,                 1.3571,               0.009208,               0.009208,               0.009208
                      7,                0.97529,                0.75677,                 1.3017,                0.83165,                0.75088,                0.81907,                0.57789,                0.92322,                0.68253,                 1.3547,                0.00901,                0.00901,                0.00901
                      8,                0.95212,                 0.7246,                 1.2802,                0.80776,                0.80626,                0.86552,                0.61985,                0.87901,                0.62864,                 1.2772,               0.008812,               0.008812,               0.008812
                      9,                0.92934,                0.69603,                 1.2676,                 0.8338,                0.79815,                0.85457,                0.61565,                0.87313,                0.63553,                 1.2809,               0.008614,               0.008614,               0.008614
                     10,                0.91557,                0.67976,                 1.2528,                0.82066,                0.83436,                 0.8827,                0.64803,                0.84271,                 0.5882,                 1.2501,               0.008416,               0.008416,               0.008416
                     11,                0.89399,                0.65033,                 1.2385,                0.82795,                 0.7967,                0.86271,                0.61702,                0.83987,                0.59488,                 1.2482,               0.008218,               0.008218,               0.008218
                     12,                0.88562,                0.62999,                 1.2283,                0.86346,                0.83236,                0.88591,                0.65921,                0.80946,                0.53575,                 1.2215,                0.00802,                0.00802,                0.00802
                     13,                0.87005,                 0.6178,                 1.2227,                0.79847,                0.78182,                0.78865,                0.58944,                 0.8425,                0.71178,                 1.2482,               0.007822,               0.007822,               0.007822
                     14,                0.86089,                0.61012,                 1.2186,                0.90469,                 0.8525,                 0.9214,                0.68502,                0.78149,                0.48081,                  1.195,               0.007624,               0.007624,               0.007624
                     15,                0.84672,                0.59343,                 1.2011,                0.88054,                0.83613,                0.89941,                0.67011,                0.79516,                0.50307,                 1.2148,               0.007426,               0.007426,               0.007426
                     16,                0.83013,                0.57581,                  1.196,                0.87349,                0.85478,                0.90762,                0.67125,                 0.7872,                0.49113,                 1.1964,               0.007228,               0.007228,               0.007228
                     17,                0.83056,                0.56654,                 1.1933,                0.89267,                0.86513,                0.92123,                0.69317,                0.76902,                0.45766,                 1.1882,                0.00703,                0.00703,                0.00703
                     18,                0.81034,                0.55153,                 1.1802,                0.89172,                0.86547,                0.92614,                0.70012,                0.76328,                0.46085,                 1.1773,               0.006832,               0.006832,               0.006832
                     19,                0.80574,                0.54818,                 1.1764,                0.87547,                0.85268,                0.89676,                0.68089,                0.75693,                0.49283,                 1.1675,               0.006634,               0.006634,               0.006634
                     20,                0.79582,                0.53576,                 1.1695,                0.89399,                 0.8836,                0.93364,                  0.706,                 0.7442,                0.42877,                 1.1638,               0.006436,               0.006436,               0.006436
                     21,                0.78692,                0.53075,                 1.1663,                0.92996,                0.86592,                0.93341,                0.70493,                 0.7444,                0.43317,                 1.1671,               0.006238,               0.006238,               0.006238
                     22,                0.78156,                0.52188,                 1.1615,                0.92477,                0.87056,                0.93411,                 0.7151,                0.73592,                0.41727,                 1.1542,                0.00604,                0.00604,                0.00604
                     23,                0.76633,                0.51236,                 1.1518,                0.92268,                0.86329,                 0.9289,                0.71116,                 0.7225,                0.41739,                 1.1444,               0.005842,               0.005842,               0.005842
                     24,                0.76023,                0.50491,                 1.1465,                0.91282,                0.87777,                0.93243,                0.71619,                  0.731,                0.41466,                 1.1537,               0.005644,               0.005644,               0.005644
                     25,                0.75632,                0.49848,                 1.1422,                0.92093,                0.87837,                0.93934,                 0.7257,                0.71823,                0.40615,                 1.1374,               0.005446,               0.005446,               0.005446
                     26,                0.74738,                0.49022,                 1.1363,                0.91767,                 0.8772,                0.93964,                0.73038,                0.71109,                 0.3986,                 1.1322,               0.005248,               0.005248,               0.005248
                     27,                0.74021,                0.48301,                 1.1353,                0.93105,                0.87407,                0.93818,                0.72921,                0.70314,                0.39179,                 1.1233,                0.00505,                0.00505,                0.00505
