                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5451,                 1.7213,                 1.8272,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070029,              0.0033301,              0.0033301
                      2,                 1.3473,                 1.3276,                 1.6669,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.03871,              0.0053441,              0.0053441
                      3,                  1.201,                 1.1116,                  1.545,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060702,              0.0060381,              0.0060381
                      4,                 1.0925,                0.94452,                 1.4585,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                      5,                 1.0686,                 0.9002,                 1.4403,                0.75326,                0.74938,                0.79779,                0.54973,                0.96652,                0.76832,                 1.3812,                0.00406,                0.00406,                0.00406
