                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3896,                 2.1223,                 1.5836,                0.66552,                0.36056,                0.37783,                0.21655,                  1.616,                   3.18,                 1.9699,             0.00047116,             0.00047116,             0.00047116
                      2,                 1.4901,                 1.8028,                 1.6479,                0.31771,                0.34977,                0.27866,                0.14184,                 1.8398,                 2.6781,                 2.2535,             0.00090059,             0.00090059,             0.00090059
                      3,                 1.5124,                 1.8161,                 1.6744,                0.66569,                0.22933,                0.23417,                 0.1122,                  2.056,                 2.9228,                 2.3998,              0.0012829,              0.0012829,              0.0012829
                      4,                 1.4974,                 1.7594,                 1.6738,                0.68514,                0.31184,                 0.3163,                0.17437,                 1.7723,                 2.3617,                 2.0708,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.4799,                 1.7288,                 1.6497,                0.49683,                 0.4149,                0.40737,                0.24179,                 1.6848,                 2.0345,                 2.0671,              0.0012168,              0.0012168,              0.0012168
                      6,                 1.4097,                 1.6088,                 1.6085,                0.71584,                0.39326,                0.41936,                 0.2496,                 1.5309,                 2.1208,                 1.8645,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.3561,                 1.4946,                 1.5474,                0.60567,                0.48145,                0.49054,                0.29768,                 1.5696,                 1.7472,                 1.8414,              0.0010753,              0.0010753,              0.0010753
                      8,                 1.3416,                 1.4509,                 1.5495,                0.68403,                0.41767,                0.48218,                0.29421,                 1.5136,                 1.8768,                  1.842,              0.0010046,              0.0010046,              0.0010046
                      9,                 1.2834,                 1.3426,                 1.5073,                0.61062,                0.46645,                0.50173,                0.30895,                 1.5313,                 1.5909,                 1.8111,             0.00093385,             0.00093385,             0.00093385
                     10,                 1.2734,                 1.3494,                 1.5006,                0.71386,                0.48658,                0.55287,                0.36038,                 1.3903,                 1.5509,                 1.7235,             0.00086312,             0.00086312,             0.00086312
                     11,                 1.2363,                 1.3138,                 1.5391,                0.71042,                0.46701,                0.54521,                0.33614,                 1.4859,                 1.6084,                  1.778,             0.00079238,             0.00079238,             0.00079238
                     12,                 1.1923,                 1.2357,                  1.497,                0.68172,                0.50225,                0.52269,                0.33729,                 1.3937,                 1.6842,                 1.7297,             0.00072164,             0.00072164,             0.00072164
                     13,                 1.1518,                   1.16,                 1.4637,                0.70437,                0.51457,                0.58685,                0.37668,                 1.3958,                 1.4288,                 1.7297,             0.00065091,             0.00065091,             0.00065091
                     14,                 1.1355,                 1.1109,                 1.4438,                0.61319,                 0.5622,                0.58493,                0.39041,                 1.3302,                 1.4097,                 1.6447,             0.00058017,             0.00058017,             0.00058017
                     15,                 1.0883,                 1.0458,                 1.4145,                0.74625,                0.53012,                0.60092,                0.38819,                 1.3429,                  1.383,                 1.6706,             0.00050944,             0.00050944,             0.00050944
                     16,                 1.0374,                0.95718,                 1.3616,                0.66508,                0.54673,                0.59832,                0.40208,                 1.3076,                 1.3636,                 1.6197,              0.0004387,              0.0004387,              0.0004387
                     17,                 1.0292,                 0.9382,                 1.3591,                0.72378,                0.55949,                0.61687,                0.42038,                 1.3033,                 1.2957,                 1.6545,             0.00036797,             0.00036797,             0.00036797
                     18,                0.96575,                0.84339,                 1.3128,                 0.8334,                0.50457,                0.60935,                0.41329,                 1.2965,                 1.3657,                 1.6315,             0.00029723,             0.00029723,             0.00029723
                     19,                0.94159,                0.79481,                 1.2825,                0.81752,                0.55426,                 0.6464,                0.44395,                 1.2768,                 1.2821,                 1.6044,              0.0002265,              0.0002265,              0.0002265
                     20,                0.92215,                0.76059,                 1.2697,                0.76414,                0.56898,                0.63878,                 0.4417,                  1.259,                 1.2218,                 1.6015,             0.00015576,             0.00015576,             0.00015576
