                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.358,                 2.4317,                 1.5548,                0.47689,                0.35817,                0.32808,                0.18718,                 1.5075,                 2.5496,                 1.8426,             0.00047116,             0.00047116,             0.00047116
                      2,                 1.4296,                 2.0211,                 1.5961,                0.49547,                0.35204,                0.38078,                0.20738,                 1.6892,                 2.4388,                 2.0707,             0.00093811,             0.00093811,             0.00093811
                      3,                 1.4644,                 1.9409,                 1.6304,                 0.2945,                0.29932,                0.28729,                0.14269,                 1.8314,                 2.3805,                 2.0964,              0.0013956,              0.0013956,              0.0013956
                      4,                 1.4384,                 1.8755,                  1.624,                0.77358,                0.36839,                0.41585,                0.23413,                 1.6381,                 2.5689,                 1.9615,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.4313,                 1.8143,                 1.6283,                 0.3648,                0.36133,                0.29773,                 0.1657,                 1.9079,                 3.3053,                 2.1355,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.3945,                 1.6803,                 1.5786,                0.53917,                 0.3942,                 0.3883,                 0.2178,                 1.6104,                 1.9544,                 1.9982,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.3621,                 1.5973,                 1.5384,                0.54863,                0.44359,                0.47382,                0.28825,                 1.4935,                 1.8043,                 1.7999,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.3381,                 1.5535,                 1.5434,                0.82277,                0.40054,                0.47926,                0.28921,                 1.4994,                 1.9127,                 1.8664,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.3092,                 1.5001,                 1.5248,                0.83501,                0.37478,                0.49444,                0.29939,                 1.5429,                 1.7451,                 1.8497,                0.00133,                0.00133,                0.00133
                     10,                 1.3376,                 1.5135,                 1.5388,                0.58614,                    0.4,                0.45717,                0.27683,                 1.5603,                  1.788,                 1.8501,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.2941,                 1.4579,                 1.4966,                 0.7679,                0.43966,                0.46979,                0.29094,                 1.4402,                 1.8089,                 1.7526,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.2907,                 1.4217,                 1.5106,                0.64104,                0.49397,                0.50771,                0.30378,                 1.4997,                 1.7181,                 1.8193,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.2682,                 1.3773,                 1.4873,                0.72372,                0.45535,                0.56418,                0.35392,                 1.4186,                 1.5246,                 1.7622,              0.0012734,              0.0012734,              0.0012734
                     14,                  1.256,                 1.3237,                 1.4706,                0.70585,                0.44889,                0.52943,                0.32506,                 1.5317,                 1.6174,                 1.8004,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.2118,                 1.3379,                 1.4432,                0.70424,                0.48044,                0.54537,                0.34503,                 1.4187,                 1.5528,                 1.7087,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.2092,                 1.2405,                  1.435,                0.78596,                0.45885,                0.54508,                0.35813,                 1.3715,                  1.595,                 1.6806,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.2127,                 1.2466,                 1.4348,                0.70337,                0.46066,                0.50813,                0.31921,                 1.4671,                 1.6783,                  1.776,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.1893,                 1.1967,                 1.4185,                0.77479,                0.48414,                0.57292,                0.37307,                 1.4166,                 1.4899,                 1.7293,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.1918,                 1.2096,                 1.4185,                0.71044,                0.49311,                0.55909,                0.35123,                 1.4115,                 1.5046,                 1.7199,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.1863,                 1.1622,                 1.4077,                0.70945,                0.44938,                0.54249,                0.34302,                 1.4312,                 1.6076,                 1.7056,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.1649,                 1.1677,                 1.4022,                0.71441,                0.49258,                0.55785,                0.36524,                 1.3603,                 1.6211,                 1.6749,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.1635,                 1.1696,                 1.4174,                0.66698,                0.52844,                0.58501,                0.37239,                 1.4074,                 1.5093,                 1.7387,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.1813,                 1.1491,                  1.407,                0.81612,                0.48326,                0.56715,                 0.3761,                 1.3737,                 1.4708,                 1.6423,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.1285,                 1.1085,                  1.372,                0.65224,                0.55873,                0.58348,                 0.3865,                 1.3596,                 1.3862,                 1.6442,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.1238,                 1.0987,                  1.384,                0.77748,                0.45607,                0.55425,                0.36173,                  1.377,                 1.5516,                 1.6774,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.1312,                 1.0665,                 1.3786,                0.62083,                0.58501,                0.61229,                0.40215,                 1.3342,                 1.2814,                 1.6285,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.1286,                 1.0961,                 1.3735,                0.66365,                0.51351,                0.54979,                0.34709,                 1.4096,                 1.5152,                 1.7396,              0.0010753,              0.0010753,              0.0010753
                     28,                  1.108,                  1.047,                 1.3684,                0.63232,                0.51825,                0.56418,                0.37332,                  1.373,                 1.4254,                 1.6982,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.0924,                 1.0369,                 1.3649,                0.64447,                0.55902,                0.60394,                0.39268,                 1.3587,                 1.3538,                 1.6622,               0.001047,               0.001047,               0.001047
                     30,                 1.1071,                 1.0413,                 1.3728,                0.69561,                0.50361,                0.56125,                0.36649,                 1.3846,                 1.4996,                 1.7015,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.0684,                 1.0097,                 1.3418,                0.81403,                0.44494,                0.56932,                0.37554,                 1.3524,                 1.4916,                 1.6788,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.0728,                 1.0075,                  1.341,                0.67103,                0.51701,                0.55893,                0.37533,                 1.3721,                  1.538,                 1.6787,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.0836,                0.98975,                 1.3409,                0.61906,                0.49401,                0.54003,                0.35113,                 1.3957,                 1.5374,                 1.6907,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.0772,                  0.991,                 1.3389,                0.64572,                 0.5289,                0.57415,                0.38336,                 1.3384,                 1.4221,                 1.6551,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.0514,                0.96692,                 1.3269,                0.65013,                0.54457,                0.59154,                0.37977,                 1.3657,                 1.3872,                 1.6745,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.0448,                0.95969,                 1.3153,                0.72173,                0.50586,                0.56771,                0.37774,                 1.3493,                 1.4461,                 1.6869,               0.000948,               0.000948,               0.000948
                     37,                 1.0551,                0.94803,                 1.3187,                0.69208,                0.57104,                0.60967,                0.40468,                  1.332,                 1.3559,                 1.6387,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.0352,                0.92841,                 1.3136,                0.70354,                0.53917,                0.58804,                0.38014,                 1.3832,                 1.4209,                 1.6904,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.0274,                0.91617,                 1.3042,                0.62965,                0.55706,                0.59172,                0.37864,                 1.4187,                 1.3968,                 1.7221,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.0357,                0.92438,                 1.3099,                0.78526,                0.48429,                0.56512,                0.36998,                 1.3524,                 1.4395,                 1.7008,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.0196,                0.90127,                 1.3026,                0.60276,                0.57926,                0.59851,                0.40317,                 1.3169,                 1.3352,                 1.6263,             0.00087726,             0.00087726,             0.00087726
                     42,                  1.009,                 0.9043,                 1.2989,                0.75972,                0.53093,                0.59287,                0.39813,                 1.3397,                 1.4334,                 1.6702,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.0273,                0.90533,                 1.3029,                0.70199,                0.52324,                 0.5712,                0.38142,                  1.323,                 1.3868,                   1.63,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.0194,                0.88786,                 1.2942,                0.78393,                0.52246,                0.59898,                0.41286,                 1.2971,                 1.4545,                 1.6092,             0.00083482,             0.00083482,             0.00083482
