                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2352,                 1.9721,                 1.3798,                0.63214,                 0.4965,                0.57728,                0.34954,                 1.2901,                 2.0864,                 1.4475,                0.00058,                0.00058,                0.00058
                      2,                 1.2448,                  1.385,                 1.3815,                0.68006,                0.62924,                0.67854,                0.37223,                 1.4049,                 1.6006,                 1.7582,              0.0011566,              0.0011566,              0.0011566
                      3,                 1.3052,                 1.3758,                 1.4195,                0.56128,                 0.5875,                 0.5488,                0.27463,                 1.5368,                 1.8594,                 1.8745,              0.0017095,              0.0017095,              0.0017095
                      4,                 1.3493,                 1.4172,                   1.46,                0.43538,                0.56799,                0.48336,                0.27677,                  1.415,                 2.3327,                 1.7409,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3307,                 1.3434,                 1.4379,                0.56051,                0.61072,                0.58539,                0.30601,                 1.5904,                 1.9271,                 1.8641,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.3234,                 1.2708,                 1.4314,                0.63831,                0.61072,                0.60842,                0.32216,                 1.5752,                 1.8393,                  1.895,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.3376,                 1.2589,                  1.435,                0.64935,                0.65614,                0.68437,                0.37246,                 1.5673,                 1.4111,                 1.7114,               0.001802,               0.001802,               0.001802
                      8,                 1.2497,                  1.189,                 1.3859,                0.81658,                0.73427,                0.82475,                0.51627,                 1.3137,                 1.1736,                 1.5507,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.2433,                 1.1608,                 1.3779,                0.59306,                0.57576,                0.58715,                0.32828,                  1.508,                 1.6085,                 1.6845,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.2426,                 1.1553,                 1.3842,                0.78755,                0.63869,                0.73756,                0.41957,                 1.4595,                  1.293,                 1.6571,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.2081,                 1.0953,                 1.3469,                0.77517,                 0.6992,                0.77283,                0.46214,                 1.3595,                 1.4967,                  1.598,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.2104,                 1.0815,                 1.3607,                 0.8445,                0.71795,                0.82944,                0.49524,                 1.3107,                 1.1567,                 1.5078,               0.001604,               0.001604,               0.001604
                     13,                 1.1923,                 1.0422,                 1.3392,                0.82128,                 0.7296,                0.82077,                0.52011,                 1.3141,                 1.1258,                 1.4639,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.2152,                 1.0678,                 1.3569,                0.70629,                0.67599,                0.74102,                0.44504,                 1.3327,                 1.2714,                 1.4948,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.1891,                 1.0685,                 1.3328,                0.76966,                0.75291,                0.83092,                0.51156,                 1.2922,                 1.1193,                 1.4728,              0.0014852,              0.0014852,              0.0014852
