                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3526,                 2.3579,                 1.4959,                0.77067,                0.20163,                0.27534,                0.15535,                 1.4304,                 2.4646,                 1.5909,             0.00054211,             0.00054211,             0.00054211
                      2,                 1.4034,                 1.6581,                 1.5105,                0.28598,                0.23705,                0.22541,                0.10964,                 1.6672,                 2.8736,                 2.0286,               0.001076,               0.001076,               0.001076
                      3,                 1.4234,                  1.632,                 1.5507,                0.23379,                0.25874,                0.22674,                0.12999,                 1.7601,                 2.5477,                 2.0152,               0.001588,               0.001588,               0.001588
                      4,                 1.4403,                 1.6289,                 1.5568,                0.40223,                0.31478,                0.28959,                 0.1476,                 1.7074,                 2.3861,                 1.9022,               0.001568,               0.001568,               0.001568
                      5,                 1.4042,                 1.5645,                 1.5229,                0.39501,                0.36942,                0.35665,                0.17764,                 1.7346,                 2.1585,                  1.857,               0.001568,               0.001568,               0.001568
                      6,                 1.4018,                 1.5403,                  1.528,                0.45209,                0.40991,                0.40756,                0.21991,                 1.6487,                 1.8739,                 1.7833,               0.001535,               0.001535,               0.001535
                      7,                 1.3945,                 1.5049,                 1.5168,                0.60067,                0.44136,                0.45585,                0.26482,                 1.5505,                  1.778,                 1.7082,               0.001502,               0.001502,               0.001502
                      8,                 1.3678,                 1.4585,                 1.4927,                0.73742,                0.38408,                0.46787,                0.27452,                 1.4853,                 1.6816,                  1.672,               0.001469,               0.001469,               0.001469
                      9,                   1.34,                 1.4201,                   1.47,                0.47869,                  0.437,                0.37966,                0.21169,                 1.5773,                 1.7766,                 1.6683,               0.001436,               0.001436,               0.001436
                     10,                 1.3592,                 1.4212,                 1.4943,                0.63611,                0.47272,                0.51908,                0.30085,                 1.5351,                 1.5221,                 1.6792,              0.0014029,              0.0014029,              0.0014029
                     11,                  1.321,                 1.3629,                 1.4735,                0.58938,                0.47879,                0.50713,                0.30075,                 1.5148,                 1.5304,                  1.654,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.3168,                 1.2945,                 1.4489,                0.59299,                0.39829,                0.42041,                0.22846,                 1.5774,                 1.8362,                 1.6964,              0.0013369,              0.0013369,              0.0013369
                     13,                   1.32,                 1.3305,                 1.4688,                0.66128,                0.51658,                0.53236,                0.31057,                  1.447,                 1.5074,                 1.5897,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.2721,                  1.259,                 1.4181,                0.57804,                0.50836,                0.51119,                0.30732,                 1.4766,                  1.503,                 1.5945,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.2639,                 1.2681,                  1.419,                0.68329,                0.51281,                0.55741,                0.33029,                 1.4675,                  1.406,                 1.5552,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.2925,                 1.2538,                 1.4292,                0.58084,                0.48574,                0.51415,                0.31011,                 1.4454,                 1.4921,                 1.6024,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.2256,                 1.1692,                 1.3907,                0.51524,                0.46521,                0.47801,                0.29911,                 1.4551,                 1.5449,                 1.6511,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.2517,                 1.1625,                  1.404,                0.59293,                0.51967,                0.52742,                0.31524,                 1.4408,                 1.4085,                 1.5921,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.2471,                 1.1917,                 1.4122,                0.54264,                0.51226,                0.51742,                0.31975,                 1.4006,                 1.4436,                 1.5602,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.2314,                  1.181,                 1.4075,                0.61388,                0.52799,                0.54693,                 0.3549,                 1.3612,                 1.3308,                 1.5214,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.1957,                 1.1351,                 1.3654,                0.68119,                0.50855,                0.56164,                 0.3351,                 1.4214,                 1.3902,                 1.5448,              0.0010399,              0.0010399,              0.0010399
                     22,                  1.226,                 1.1471,                 1.3891,                0.59575,                0.49212,                0.50649,                0.31871,                 1.3935,                 1.4808,                 1.5941,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.1635,                 1.1272,                 1.3781,                0.52974,                0.56845,                0.56419,                0.33727,                 1.3964,                  1.394,                 1.5526,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.1709,                 1.1277,                 1.3593,                0.62844,                0.57048,                0.58649,                0.36244,                 1.3561,                 1.2361,                 1.4936,             0.00094085,             0.00094085,             0.00094085
