                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3649,                 2.3243,                 1.4412,                0.70936,                0.41352,                0.44808,                0.28784,                 1.3729,                 2.0653,                 1.5106,             0.00047116,             0.00047116,             0.00047116
                      2,                 1.4156,                 1.8022,                 1.4764,                0.55546,                0.41757,                0.41263,                0.24265,                 1.5196,                 2.2927,                 1.6816,             0.00092873,             0.00092873,             0.00092873
                      3,                  1.452,                 1.7461,                 1.4912,                0.26046,                0.30107,                0.28076,                0.15375,                 1.7368,                 2.4379,                 1.7811,              0.0013674,              0.0013674,              0.0013674
                      4,                 1.4217,                 1.7065,                 1.4799,                0.61576,                0.29629,                0.26655,                0.14637,                 1.7668,                 2.7518,                  1.815,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.4133,                 1.6483,                 1.4668,                0.46109,                 0.4544,                0.46718,                0.29097,                 1.5002,                 2.1639,                 1.6604,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.3795,                 1.5509,                 1.4486,                 0.4341,                0.43105,                 0.4043,                0.23722,                 1.5267,                 2.1014,                  1.656,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.3475,                 1.4838,                 1.4274,                0.56556,                0.42983,                0.48361,                0.29954,                 1.4784,                 1.6924,                 1.5878,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.3174,                 1.4501,                 1.4132,                0.77967,                0.42301,                0.50574,                0.32994,                 1.3899,                 1.6775,                 1.5247,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.3084,                 1.3934,                 1.4011,                0.81249,                0.42603,                0.52464,                0.33487,                 1.4343,                 1.6427,                 1.5352,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.3156,                 1.3995,                 1.4068,                0.79253,                0.41934,                0.50247,                0.32183,                 1.4382,                 1.6622,                 1.5837,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.2763,                 1.3679,                 1.3851,                0.73219,                0.44666,                0.50555,                0.31431,                 1.4724,                  1.892,                 1.5784,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.2679,                 1.3047,                 1.3915,                0.66246,                0.51769,                0.51528,                0.32969,                 1.3514,                 1.5558,                 1.5082,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.2389,                 1.2863,                 1.3758,                0.77639,                0.48369,                0.53576,                0.34498,                 1.3692,                 1.5685,                 1.5283,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.2244,                 1.2465,                 1.3581,                0.84193,                0.47596,                0.57958,                0.37517,                  1.381,                 1.4842,                 1.4813,              0.0010895,              0.0010895,              0.0010895
